ID;Text;Username;Name;Language;Created at;Actor/actress name
1404446891299917824;"RT @moronhumor: These same idiots will next question - 

When Modi-Shah-Yogi knew there is a 3rd Wave coming, their thirst for power saw no…";Babu_Saheb__;Babu Saheb;en;2021-06-14 14:33:26;Yogi Babu
1404442228873777155;"RT @TwoodTrolls2_0: Sakshi vadu tappudu articles raasthe rani Rosham PK ni Che tho polisthe ochindhenti pilla FCS ki
Meeru Babu Fans ah
Onl…";Yogi_evam;Yogi Divine Form;et;2021-06-14 14:14:55;Yogi Babu
1404441918969315331;"RT @PspkFan_4ever: Ustaad mahesh Babu anta 😂😂😂😂

Monna Babu lake Babu tag , eeroju Ustaad tag , repu POWERSTAR tag 

Red fms : 
Tag lu ming…";Yogi_evam;Yogi Divine Form;et;2021-06-14 14:13:41;Yogi Babu
1404441788484440072;"RT @_Power___House_: Repeat with me

Babulake Babu 🔥

Kalyan babu😎🔥

#PawanKalyanIsMyCHEGUEVARA #BabulakeBabuKalyanBabu #HariHaraVeeraMallu…";Yogi_evam;Yogi Divine Form;tl;2021-06-14 14:13:10;Yogi Babu
1404441736038944770;"RT @Saarika_Mehta: Babulake Babu Kalyan Babu 💥🔥

#PawanKalyanIsMyCHEGUEVARA
#PawanKalyan @PawanKalyan 
#BabulakeBabuKalyanBabu";Yogi_evam;Yogi Divine Form;tr;2021-06-14 14:12:57;Yogi Babu
1404441310514216960;Today's life like this scene yogi babu/ Jayam ravi/ enna koduma sir ithu https://t.co/E4loafkMV6 via @YouTube;gorakmuni;gorak;et;2021-06-14 14:11:16;Yogi Babu
1404441081190621185;"RT @RusthumHere: Babulake Babu Kalyan babu 🔥

#PawanKalyanIsMyCHEGUEVARA
#BabulakeBabuKalyanBabu
@PawanKalyan | #PawanKalyan";Yogi_evam;Yogi Divine Form;tr;2021-06-14 14:10:21;Yogi Babu
1404440439512395779;"RT @_PakkaTollywood: Sontha Party Pete Dhammu + Stardom Leka Veere Party Lo MP Ga Seat Adukoni Odipoyadu Vala Babu..

Disaster Talk Vasthe…";Yogi_evam;Yogi Divine Form;et;2021-06-14 14:07:48;Yogi Babu
1404439679995289607;"RT @RusthumHere: 50k Tweets 💥💥

Babulake babu tag also Trending ❤️

#PawanKalyanIsMyCHEGUEVARA
#BabulakeBabuKalyanBabu

@PawanKalyan | #Paw…";Yogi_evam;Yogi Divine Form;tl;2021-06-14 14:04:47;Yogi Babu
1404439540274647045;"RT @_PakkaTollywood: Maa Babulake Babu Vala Babu Ni Eluru Lo MP Ga Poti Chesthe Kukkani Kotinatu Kotaru 

#PawanKalyanIsMyCHEGUEVARA
#Babul…";Yogi_evam;Yogi Divine Form;in;2021-06-14 14:04:14;Yogi Babu
1404436084621287428;Who could’ve pulled off Robin Hood Prince of Thieves if Kevin Costner was miscast? I can’t think of a bankable star… https://t.co/ceKaBgGp8h;comnsensewins;NotDonLemon;en;2021-06-14 13:50:30;Tom Sizemore
1404426868971905028;"Twin Peaks The Return, the spellbinding mystery series that asks the question ""why would David Lynch hire Tom Sizem… https://t.co/TaXTmII3Tm";MartinDunlop1;Martin Dunlop (The Emperor);en;2021-06-14 13:13:53;Tom Sizemore
1404424085908733956;@jenbegakis Love it. I can total my see 2010 Tom Sizemore as one of the kidnappers but not the main kidnapper;sweenz104;Mike;en;2021-06-14 13:02:49;Tom Sizemore
1404283423577964550;Fuck, Tom Sizemore is legitimately my favorite actor.;AinterShow;Emissary of The Eternal Garden of Homies 👁️⃤;en;2021-06-14 03:43:53;Tom Sizemore
1404193352640253964;So Elliot Gould is the Tom Sizemore of war movies before Tom Sizemore SIzemored (watch Black Hawk Down if you don't… https://t.co/iXtbPiSpgw;katiathemick;Wet Ass Katie (I'm swimming) 🏳️‍🌈🐙;en;2021-06-13 21:45:58;Tom Sizemore
1404116506485694468;Vi #NarcoSub y trata de contrabando de droga en un mini submarino hacia Florida. Un débil elenco que reforzado por… https://t.co/QDMHxEYBKD;gmunozb;Gabriel Munoz;es;2021-06-13 16:40:37;Tom Sizemore
1403966527590875138;I feel like when directors are about to make a war movie the first person they all automatically cast is Tom Sizemo… https://t.co/kbaq7jEuIK;OHHMGitstbaba;Tunde;en;2021-06-13 06:44:39;Tom Sizemore
1403892730988802050;The Tom Sizemore/Penelope Ann Miller movie The Relic is underrated. So confused by why we never got another one like it;badgercommander;Badger Commander;en;2021-06-13 01:51:24;Tom Sizemore
1403885915039092736;@EthanRunt Astral Slam, where popular public domain characters play hockey against Venus CreaSTARs. Sherlock Holmes… https://t.co/xYU96jKSZ4;SDCain;Shawn Cain;en;2021-06-13 01:24:19;Tom Sizemore
1403826674911830017;"Da série “filmes que basicamente só eu acho incríveis”

# 173 ‘A Relíquia’, com Penelope Ann Miller e Tom Sizemore… https://t.co/9RL86698Yp";rsadovski;Roberto Sadovski;pt;2021-06-12 21:28:55;Tom Sizemore
1404444755602280456;"RT @chitravaani: Cinematic parallels : 

Same prakash raj
Friend son
Hyd job
Heroine engaged
After Love https://t.co/V9BzoBESFc";MYeduvaka;MAHESH BABU YEDUVAKA (YMB);en;2021-06-14 14:24:57;Prakash Raj
1404443256168103936;From Prakash Raj to Samyukta Hornad, celebs pay tribute to Kannada actor Sanchari Vijay https://t.co/spwUpu4ZjE;tamilidhal;Tamil Idhal;hi;2021-06-14 14:19:00;Prakash Raj
1404439199277674503;@Hemanthsayz @Ravicherry_ @KChiruTweets @AlwaysRamCharan I don't think any actor can accept this type of character… https://t.co/X4DxnSq38O;gana_eswar;eswar gana;en;2021-06-14 14:02:52;Prakash Raj
1404438431262859267;"RT @Showbiz_IT: From #PrakashRaj to #SamyuktaHornad, celebs pay tribute to Kannada actor #SanchariVijay

https://t.co/YbmXtltY0m";SankalpVarshn12;Sankalp Varshney;en;2021-06-14 13:59:49;Prakash Raj
1404437980341673985;"RT @Showbiz_IT: From #PrakashRaj to #SamyuktaHornad, celebs pay tribute to Kannada actor #SanchariVijay

https://t.co/YbmXtltY0m";IndiaTodayFLASH;IndiaTodayFLASH;en;2021-06-14 13:58:02;Prakash Raj
